epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9528,1.28856,2.85252,1.0023,0.01201,0.65182,0.27007,0.18456,1.13639,3.49287,0.90835,0.000404412,0.000404412,0.000404412
2,121.18,1.15911,1.70166,0.98261,1,0.12401,0.56884,0.421,1.04617,2.81889,0.91998,0.000658505,0.000658505,0.000658505
3,180.454,1.00898,1.34064,0.9392,0.88235,0.46189,0.72093,0.54674,1.00671,2.15619,0.92096,0.000747598,0.000747598,0.000747598
4,239.37,0.98079,1.26221,0.94041,0.8898,0.78502,0.89254,0.67594,0.88504,1.37303,0.89872,0.0005075,0.0005075,0.0005075
5,299.155,0.89004,1.11752,0.90649,0.91726,0.86616,0.93098,0.71661,0.82338,1.00321,0.88888,0.00026,0.00026,0.00026
